name,tag,region,rr,rank,puuid
沖縄に行くために,KR2,ap,106,5866,d09eaae7-62ec-5a26-8497-b0850a7f7d10
I miss her,xxxzx,ap,105,5896,fa4e3020-aa73-50f5-821c-db6e8d53917e
joke,2657,ap,105,5905,136da410-db6c-5fc3-9bda-4689a7a9de7c
gunta,0408,ap,105,5915,08a462f9-61ae-5631-8c10-28ba10e9b45d
levitating,zzz,ap,105,5922,15c85e97-4d16-5111-a743-102b5fda10dc
すーちゃんa k a 鳥谷敬,フルパ,ap,104,5964,d3458c0f-1443-59a6-8c12-b001b704eb60
syue,914,ap,104,5986,91eaa3e5-7f6e-51a1-acd9-53bc7986a1d1
yomamagaming,1027,na,684,10,3f67862d-8698-5b5a-b208-8f1be0488338
Karma,bear,na,647,17,f522ef27-a70f-5f8b-a0fe-9bdbc04fdc10
tas,num50,na,614,25,8f2f45bb-ec79-5d86-8633-ada678a37e92
Duck,MST,na,596,31,9aa420bc-0e63-5eb7-9c9b-a609268d3fee
azrex,2679,na,586,35,15e1c739-1cf9-5afb-be37-36214ea9d396
huphh,FCity,na,514,82,b28e0a53-2994-5c8d-9b69-3acbdd2e37ba
freg,ley,na,512,83,b656d512-f603-5345-9f8e-249d3482bd6f
enzo,yyy,na,509,87,0ebea47b-f9e4-5f09-9068-0174f69e13e7
RYKER,88777,na,459,178,027da509-49e3-59c3-9dc6-1b34cb036acc
zylo,aim,na,458,179,9ada2c99-b577-559c-af0a-6431725857ea
hokumpoke,meep,na,419,250,d36fdf99-7f04-5fc9-87aa-975f6501ebc1
jinwoo,bruno,na,409,262,64ce4130-55b7-579a-9228-d6870506de14
este,15yr,na,380,307,943a5959-0b7d-50a7-b5a9-95171ae609a7
jefesin,0101,na,376,325,3e8e4aac-2a66-5da4-84d9-505d5ba6e26a
hieu,chels,na,367,346,7e56b232-87fc-509d-ba14-3c91f9b62b34
Wingcent,schiz,na,354,379,267f16a6-fea7-5189-92db-b656242ef4be
VantiK,brit,na,352,385,a7e32707-1b1c-5fb5-b0b6-efcdceb385ca
john,kelly,na,343,407,31965e60-5c34-5e38-a5b9-81a199ec8cb3
ilikefruitt,kang,na,328,446,23e8d1c0-4665-5eb4-abc5-31a2a8357b54
Twitch Navoros,Elo,na,327,452,94d03e60-6a3b-58cd-b1ba-6d179e6d30bd
Sushie,cris,na,326,454,3600d49b-d22d-557f-ad83-8ea9da255a37
purp,roo,na,319,476,756dd347-7d82-5d8b-9546-5d3a4a3bd77d
unc szn,lmao,na,308,513,0348d826-8701-54a5-a1de-ab406b06e7ff
